,engineTransmission_battery_value,engineTransmission_engineoilLevelDipstick_value,engineTransmission_engineOil,engineTransmission_engineOil_cc_value_0,engineTransmission_engine_value,engineTransmission_coolant_value,engineTransmission_engineMounting_value,engineTransmission_engineSound_value,engineTransmission_engineSound_cc_value_0,engineTransmission_exhaustSmoke_value,engineTransmission_engineBlowByBackCompression_value,engineTransmission_engineBlowByBackCompression_cc_value_0,engineTransmission_clutch_value,engineTransmission_gearShifting_value,fuel_type,odometer_reading,rating_engineTransmission,how_old
29,1,1,0,5,1,1,1,0,4,1,1,1,1,1,0,1.6164836493051604,3,-0.150973993523723
30,1,1,0,0,0,1,1,0,4,0,1,1,1,1,0,-0.2587572825966317,4,-0.21711966668125526
31,1,1,0,0,0,1,1,1,4,1,1,1,1,1,3,-1.3538008149989886,3,-1.4077417835168358
32,0,1,0,5,1,1,0,0,4,1,1,1,0,1,3,-0.7969446511198828,2,0.06951158366805113
33,1,1,1,5,1,1,1,0,4,1,1,1,1,1,0,0.7019265233213771,3,-0.21711966668125526
34,1,1,0,3,1,1,1,0,0,1,1,1,1,1,3,0.2556075910509924,5,-0.08482832036619077
35,1,1,0,0,1,1,1,1,4,1,1,1,1,1,3,-0.9130205058639606,3,-0.7462850519415133
36,1,1,0,5,0,1,0,0,0,1,1,1,0,1,3,-0.6689789335833017,3,1.2160365850652768
37,1,1,0,0,1,1,0,0,3,1,1,1,1,1,0,-0.8608419713069322,3,-0.6360422633456262
38,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,0.14511312873289178,9,1.9436389897981314
39,1,1,1,5,1,1,1,1,4,1,1,3,1,1,0,-1.3449689564858522,2,-1.0329163022908197
40,1,1,1,5,0,1,1,1,4,1,1,1,1,1,4,-0.9100908094564553,2,-1.1652076486058842
41,1,1,0,6,1,0,1,0,3,1,1,1,1,1,3,-0.23651725147396394,4,1.4806192776954057
42,0,1,0,0,1,0,1,0,0,1,1,1,1,1,3,0.6304804233398067,4,1.502667835414583
43,1,1,0,0,1,0,1,0,4,1,1,1,0,1,3,-0.9647499628694736,5,-1.099061975448352
44,1,1,0,5,0,0,0,0,4,0,0,0,0,0,3,-1.1287274231085282,4,-0.8785763982565777
45,0,1,0,6,0,0,0,0,4,0,1,1,0,1,4,0.3146933660432339,3,-0.04073120492783594
46,1,1,0,0,0,1,1,0,3,1,1,1,0,1,4,-0.21019275309703692,4,0.04746302594887372
47,1,0,0,6,1,0,1,0,4,1,1,1,1,1,3,0.2621940618065517,9,2.186173124709083
48,1,1,0,5,0,1,0,0,4,1,1,1,0,1,0,0.506941327382449,5,-0.21711966668125526
49,1,1,1,5,1,1,1,1,4,1,1,1,1,1,4,0.5407076823273457,9,1.9877361052364864
50,1,1,0,3,0,0,1,0,4,0,0,0,0,1,4,0.14652451532336877,5,1.5688135085721153
51,1,1,0,5,0,1,0,0,3,1,1,1,0,1,3,-0.4538280171168008,3,-0.415556686153852
52,1,1,0,5,0,0,1,1,4,1,1,1,0,1,4,-0.1190300101394091,4,0.907356776996793
53,1,1,1,5,1,1,0,0,2,1,1,1,1,1,0,-0.9764901331448049,1,-0.23916822440043267
54,1,1,0,5,1,0,1,0,2,1,1,1,0,0,4,0.37433514181354216,3,0.3561428340173575
55,1,1,0,5,1,1,0,0,3,1,1,1,0,1,0,-0.07395117782538625,3,0.04746302594887372
56,1,1,1,5,0,1,1,0,4,1,1,1,1,1,4,-0.7036220589859189,3,-0.9006249559757551
57,1,1,0,5,0,0,0,0,0,0,0,0,0,1,0,2.4035241353038783,9,1.1939880273460994
58,1,1,0,5,1,1,1,0,4,1,1,1,1,1,3,1.5595149541986344,3,1.2601337005036315
59,1,1,0,5,1,0,1,0,3,1,0,0,1,1,4,-0.8029965057426857,4,-0.19507110896207785
60,1,1,0,5,0,1,0,0,4,1,1,1,0,1,3,1.1978150634209388,5,-0.8565278405374003
61,1,1,0,0,1,1,1,1,4,1,1,2,1,1,3,-0.9891070738778568,1,-1.0108677445716423
62,1,1,1,5,1,1,1,0,3,1,1,1,1,1,3,0.3214509139612753,4,1.2601337005036315
63,1,1,0,0,0,0,1,0,0,1,1,1,1,1,4,-0.34876525470750563,4,0.4663856226132446
64,1,1,1,5,1,1,1,1,4,1,1,1,0,0,3,-0.9955866214068648,3,-1.694373033866142
65,1,1,0,0,1,0,1,0,0,1,1,1,0,1,3,-0.040548361850764006,3,0.7750654306817284
66,1,1,0,3,0,1,0,0,4,0,1,3,0,1,0,0.460686339576362,4,-0.17302255124290045
67,1,1,0,0,0,1,1,0,3,1,1,1,1,1,4,0.3367195507127992,3,-0.04073120492783594
68,1,1,0,0,1,1,1,0,4,1,1,3,1,1,0,0.2904217936160916,3,-0.19507110896207785
69,1,1,0,5,0,1,1,0,1,1,1,1,1,1,3,-0.6401310470597643,3,-0.9226735136949326
70,1,1,1,5,1,1,1,0,2,1,1,1,1,1,0,-1.2540628292719476,4,-0.9888191868524648
71,1,1,1,5,1,0,1,0,4,1,1,1,0,1,3,-0.8738224510102586,4,-0.415556686153852
72,0,1,0,6,0,0,1,0,0,0,0,0,0,1,4,1.1114210963674984,5,-0.2612167821196101
73,1,1,1,5,0,1,1,0,4,1,1,1,0,1,3,-0.34042524303650523,4,0.3561428340173575
74,1,1,0,5,0,1,1,0,1,0,1,1,1,1,3,-0.6911975800606593,4,-0.150973993523723
75,1,1,0,5,1,0,0,0,6,1,1,1,0,0,0,-1.2414458885388955,4,0.22385148770229304
76,1,1,1,5,1,1,1,0,3,1,1,1,0,1,3,-1.0377999112493133,5,-0.9667706291332874
77,1,1,1,5,1,1,0,1,4,1,1,1,1,1,3,-1.4503097192841807,2,-0.4376052438730294
78,1,1,0,5,0,0,0,0,0,1,1,1,0,1,3,-0.4254719774353994,7,1.7011048548871799
79,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,0.0325443558196962,9,1.7452019703255348
80,1,1,0,0,1,1,1,1,4,1,1,1,1,1,3,-0.19800350527019012,4,0.2899971608598253
81,0,1,0,6,0,0,1,1,4,0,1,1,0,1,4,-0.5944534446770543,3,0.1577058145447608
82,1,1,0,6,0,0,0,0,0,1,1,1,0,0,3,1.2553611439508416,4,1.436522162257051
83,1,1,0,3,1,1,1,1,4,1,0,0,1,1,3,-0.17830824693944294,4,1.921590432078954
84,1,1,0,0,0,0,1,1,4,1,1,1,1,1,3,1.3477000424005336,9,1.7452019703255348
85,1,1,1,5,1,1,1,0,6,1,1,1,1,1,3,-0.834667165447177,3,-0.7021879365031584
86,1,1,0,0,1,1,1,0,3,0,1,3,1,1,0,-0.26102405499951903,4,-0.5698965901880939
87,1,1,0,0,1,1,1,0,3,1,1,3,1,1,0,-1.0466103851171393,2,-1.0329163022908197
88,0,1,0,5,0,0,1,0,0,0,1,1,0,0,4,0.25165143166859477,4,1.4585707199762283
89,1,1,0,5,0,0,0,0,6,1,1,3,0,1,0,0.05846254593572831,5,-0.17302255124290045
90,1,1,0,5,0,1,1,0,3,1,1,1,0,1,4,0.1925228873857327,3,-0.8124307250990455
91,1,1,1,5,1,1,1,0,4,1,1,3,1,1,0,-1.3217452316789124,5,-0.7021879365031584
92,1,1,0,5,0,0,0,0,0,0,1,1,0,0,3,0.26529483537653903,5,1.9436389897981314
93,1,1,1,5,1,1,1,1,4,1,1,1,1,1,0,0.7777992448821708,9,0.7089197575241962
94,0,1,0,5,0,1,1,0,0,0,1,1,1,1,4,0.24604865459730726,4,0.5104827380515995
95,1,1,0,0,1,0,1,0,3,1,1,1,0,1,0,0.2557358989228539,5,-0.7242364942223358
96,1,1,0,0,0,0,1,0,4,0,1,1,1,0,3,1.4821025381755022,6,1.546764950852938
97,0,1,0,5,1,1,0,0,3,1,1,1,1,1,0,0.255244052080718,4,-0.4596538015922068
98,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-1.0825793585289925,1,-1.3856932257976582
99,1,1,0,5,0,1,0,0,3,1,1,1,1,1,4,0.9501594860828464,3,1.0616966810310349
100,1,1,0,5,0,1,0,0,6,1,1,1,0,0,0,0.36295851050848515,4,-0.150973993523723
101,1,1,0,5,1,0,1,0,6,1,1,1,0,1,0,-0.2675249871738373,4,0.5545798534899543
102,1,1,0,0,0,1,1,0,3,1,1,1,0,1,3,1.2564303762163547,3,1.1498909119077445
103,1,1,0,5,1,1,1,0,1,1,1,3,1,1,0,0.5994299183493128,3,0.2899971608598253
104,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,-0.4413393842556104,3,-0.8565278405374003
105,1,1,0,5,0,1,0,0,4,0,1,1,1,1,4,0.7660804592521496,9,1.7011048548871799
106,1,1,0,5,0,1,0,0,0,1,1,1,0,1,3,-1.0050172499886885,9,1.7452019703255348
107,1,1,0,3,1,1,0,1,4,1,1,1,0,1,4,-0.4487598561782698,4,-0.415556686153852
108,1,1,1,5,1,1,1,1,4,1,1,1,1,1,0,1.560391724656355,9,1.0396481233118575
109,1,1,0,5,0,1,0,0,4,0,1,1,1,1,3,0.31886337187873415,3,1.7892990857638895
110,1,1,0,6,1,0,0,0,0,1,1,1,0,0,3,-0.6565972239486626,4,1.4585707199762283
111,0,1,0,5,1,1,1,0,6,1,1,1,1,1,0,2.0839947650780104,3,0.24590004542147045
112,1,1,0,6,1,1,1,1,4,1,1,1,1,1,3,-1.5501760128830835,3,-1.6723244761469647
113,1,1,1,5,1,1,1,1,4,1,1,1,1,1,4,-0.597169294631457,1,-1.1652076486058842
114,1,1,0,6,0,0,0,0,5,1,1,1,0,1,4,0.32106599034569067,5,1.657007739448825
115,0,1,0,0,1,1,1,1,4,1,1,1,0,1,0,-0.5827560436923435,3,-0.8565278405374003
116,1,1,0,0,0,1,1,0,4,1,1,1,1,1,3,-1.0874978269503517,3,-0.6580908210648035
117,1,1,0,0,1,1,1,0,3,1,1,3,1,1,0,-0.9033760308290344,3,-0.3935081284346746
118,0,1,0,5,0,0,0,0,0,0,0,0,0,0,3,1.6345536745923281,6,1.4144736045378734
119,1,1,0,0,1,1,1,1,4,1,1,1,1,1,3,-1.53163552539909,1,-1.473887456674368
120,1,1,1,5,1,1,1,0,0,0,1,1,0,1,3,-0.6181048623901991,4,0.8632596615584381
121,1,1,0,5,0,0,0,0,4,1,1,1,0,1,3,-0.04279374960834104,4,1.7011048548871799
122,1,1,1,5,1,1,1,0,3,1,1,4,1,1,0,-1.4685722063791407,2,-1.5179845721127228
123,1,1,0,5,1,1,0,0,4,1,1,1,0,1,0,1.322808315259394,3,-0.415556686153852
124,1,1,0,0,1,1,1,0,4,0,1,1,1,1,3,-0.25028896305376974,4,-0.1289254358045456
125,1,1,0,0,1,1,1,1,4,1,1,1,1,1,3,-1.5868934488807955,2,-1.5179845721127228
126,1,1,0,0,0,0,0,0,0,1,1,1,0,0,3,-0.7739347727660456,3,-0.4376052438730294
127,1,1,1,5,1,1,1,0,3,1,1,1,1,1,0,-0.5433655270308491,3,-1.209304764044239
128,0,1,0,5,0,1,0,0,0,0,1,1,0,0,3,-1.4902348520784316,6,1.657007739448825
129,1,1,0,0,1,0,1,0,3,1,1,1,0,1,3,-0.7406388800179747,4,-0.9226735136949326
130,1,1,0,3,0,0,0,0,0,1,1,1,0,0,4,1.7888225058605258,5,1.2601337005036315
131,1,1,0,0,0,0,0,0,4,1,1,1,0,1,3,-0.06086377489550865,4,-1.0770134177291744
132,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-0.930662838244923,2,-0.7462850519415133
133,0,1,0,5,0,1,0,0,4,0,1,1,0,0,3,-0.5696900254077761,5,0.6207255266474865
134,1,1,1,5,1,1,1,1,4,1,1,3,1,1,0,-0.25430927637209816,2,-1.1652076486058842
135,1,1,1,5,1,1,1,1,4,1,1,1,1,1,0,-1.5968586935953755,1,-1.7825672647428519
136,1,1,1,5,1,1,1,0,3,1,1,1,1,1,0,-0.07174855935842973,2,-0.6580908210648035
137,0,1,0,5,1,1,1,0,4,0,1,1,0,1,3,-0.6040123811307394,3,0.753016872962551
138,0,1,0,5,0,0,0,0,4,0,0,0,0,1,0,-0.13173248945370208,5,-0.4376052438730294
139,1,1,1,5,1,1,1,0,4,1,1,1,1,1,3,-0.4664877271404733,5,0.1577058145447608
140,1,1,0,6,1,1,1,0,4,0,1,1,1,1,3,-0.4950789979202876,3,0.9514538924351478
141,1,1,0,6,1,1,1,1,4,1,1,1,1,1,3,0.20573859818747187,5,0.1797543722639382
142,1,0,0,6,0,0,1,0,4,1,1,1,0,1,3,-0.026498649881924817,5,-0.06277976264701336
143,0,1,1,5,1,1,0,0,4,0,1,1,1,1,3,-0.9345976129820104,4,-0.5478480324689164
144,1,1,1,5,1,1,1,0,3,1,1,1,0,1,3,-0.794720648007616,3,1.1719394696269219
145,1,1,0,0,1,1,1,1,4,1,1,1,0,1,3,-0.3456003272015875,3,-0.1289254358045456
146,1,1,0,5,0,1,0,0,0,1,1,1,1,1,4,-0.745151040178439,4,-1.4077417835168358
147,1,1,0,0,1,1,1,1,4,1,1,1,1,1,3,-0.9200988234616558,3,-1.4518388989551905
148,1,1,0,0,1,0,1,0,6,1,1,3,1,1,0,1.9560290475414293,3,0.5766284112091317
149,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,-0.4370410705482487,4,0.1797543722639382
150,1,1,0,0,1,1,1,0,3,1,1,1,0,1,0,-0.146423740781849,5,-0.08482832036619077
151,1,1,0,0,0,0,1,0,5,0,1,1,1,1,3,0.5469947680485614,4,1.8995418743597767
152,1,1,0,4,1,1,1,0,3,1,1,1,1,1,0,0.8842520092366327,3,0.3120457185790027
153,1,1,0,0,1,1,1,0,6,1,1,1,1,1,0,0.24760973370495606,3,0.5766284112091317
154,1,1,0,0,1,1,1,0,4,0,1,1,1,1,0,0.21837692356583405,3,-0.6360422633456262
155,0,0,0,5,0,1,0,0,4,1,1,1,1,1,0,0.882284621868089,3,0.20180292998311564
156,1,1,0,0,1,1,1,1,4,1,1,1,1,1,3,-1.1487862204095498,3,-0.3935081284346746
157,1,1,1,5,0,1,0,0,0,1,1,1,0,1,4,-0.6997086688941418,3,-0.4596538015922068
158,1,1,0,5,0,0,1,0,4,1,1,1,1,1,4,-0.6857658801518539,4,0.37819139173653493
159,1,1,0,5,1,1,1,1,4,1,1,1,1,1,0,0.01930726037264679,3,-0.7242364942223358
160,1,1,0,6,0,0,1,0,0,1,1,1,0,1,3,1.260536228115924,3,-0.1068768780853682
161,1,1,1,5,1,1,1,0,3,1,1,1,1,1,3,-1.0556774747286886,3,-1.1872562063250616
162,1,1,1,5,1,1,1,1,4,1,1,3,1,1,0,-0.944862242730934,2,0.40023994945571234
163,1,1,0,0,0,0,1,0,4,1,1,1,1,1,3,1.5464061666234465,4,0.4663856226132446
164,1,1,0,0,1,0,1,1,4,1,1,1,1,1,3,-0.47350189080223776,3,-0.94472207141411
165,1,1,1,5,1,1,1,1,4,1,1,1,1,1,0,1.0710041167311117,9,1.0396481233118575
166,1,1,0,5,1,0,0,0,4,0,1,3,0,0,0,0.8698173736522089,4,-0.5919451479072714
167,0,1,0,5,0,0,0,0,0,0,1,1,0,1,3,0.4082939585662311,5,0.4222885071748898
168,1,1,1,5,1,0,1,0,4,0,1,1,1,1,3,-1.4642525080264686,5,0.8853082192776155
169,1,1,0,0,1,0,1,1,4,1,1,1,1,1,0,-0.3062525798307137,5,0.13565725682558338
170,0,1,0,5,0,0,0,0,4,1,1,1,0,1,0,1.6737731140913403,4,0.025414468229696306
171,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-0.06460608782480372,3,0.1577058145447608
172,1,1,0,1,1,1,1,1,4,1,1,1,1,1,3,-1.3505289642665192,2,-1.62822736070861
173,1,1,0,0,1,0,1,1,4,1,1,1,0,1,3,-0.8661025940532556,4,0.6868711998050188
174,1,1,0,0,1,0,1,0,1,1,1,4,1,1,0,-0.6258461039925123,4,0.4443370648940672
175,1,1,0,0,0,1,0,0,1,1,1,1,0,1,3,-0.992357539965016,4,-1.3195475526401261
176,1,1,0,6,0,1,1,0,0,0,1,1,0,1,0,1.1268180409908837,5,-0.3714595707154972
177,0,1,0,6,1,1,0,0,4,0,1,1,0,1,4,-0.5922080569194772,3,1.7011048548871799
178,1,1,0,5,1,1,1,0,4,1,1,1,1,0,4,0.5478715385062819,3,0.6207255266474865
179,1,1,0,0,1,1,1,0,0,1,1,1,0,0,3,0.5007825495330949,4,-0.150973993523723
180,1,1,1,5,1,1,1,0,3,1,1,1,1,1,0,-0.6232585619099712,3,-1.473887456674368
181,1,1,0,3,0,0,0,0,4,0,1,1,0,1,4,1.5154198155688834,5,1.3483279313803411
182,1,1,1,5,1,1,1,1,4,1,1,1,1,1,0,-0.7578749041380423,2,-1.3856932257976582
183,1,1,1,5,1,0,1,0,5,1,1,1,1,1,3,-0.9879523030311029,5,0.6868711998050188
184,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-1.367957450194379,3,-1.5179845721127228
185,1,1,0,5,1,1,1,1,4,0,1,1,1,1,0,-0.6388907376317694,3,-1.3856932257976582
186,1,1,0,5,0,1,0,0,3,1,1,1,1,1,4,0.41847304973391364,4,-0.1068768780853682
187,1,1,0,0,1,1,0,0,3,1,1,1,0,1,0,-0.33567785177762804,3,-0.6360422633456262
188,1,1,1,5,1,1,1,0,3,1,1,1,1,1,3,0.022108648908290528,3,0.24590004542147045
189,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-1.2721114699138047,1,-2.025101399653803
190,1,1,0,0,0,0,0,0,3,1,0,0,0,1,3,-0.3955548586463491,3,0.4663856226132446
191,1,1,1,5,1,1,1,0,4,1,1,1,1,1,0,-1.1640334725157633,3,-0.23916822440043267
192,1,0,0,6,0,0,0,0,0,0,1,1,0,0,4,0.3707425214014189,5,1.2601337005036315
193,1,1,1,5,1,1,1,1,4,1,1,3,1,1,0,-0.3592009616189113,1,0.003365910510518889
194,1,1,0,0,1,1,0,0,4,1,1,3,1,1,0,-0.2320906298947406,3,-1.1431590908867066
195,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-1.5963882313985498,9,3.310649568387131
196,1,1,0,0,0,1,0,0,4,1,1,1,0,0,0,1.5590872612924294,4,0.3561428340173575
197,1,1,0,0,1,1,1,0,3,0,1,1,1,1,0,0.11596585717501079,2,-0.8124307250990455
198,0,1,0,5,0,0,0,0,6,1,1,3,0,0,3,-0.49338961094077727,3,0.1577058145447608
199,1,1,0,0,1,1,1,0,6,1,1,1,1,1,0,0.922060062145168,3,0.20180292998311564
200,1,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0.6853534232059275,5,-0.30531389755796495
201,1,1,0,5,1,1,1,1,4,1,1,1,1,1,4,-1.1255838802479203,3,-1.2313533217634163
202,1,1,0,5,1,1,1,1,4,0,1,1,1,1,0,-0.4160413488535758,5,-0.30531389755796495
203,1,1,0,5,0,1,0,0,0,0,1,1,0,0,3,2.5953016344462676,5,1.2380851427844541
204,0,1,0,3,1,1,1,0,4,0,1,1,1,1,3,-0.37970883647144826,4,0.642774084366664
205,1,1,0,5,0,0,0,0,4,0,1,3,0,1,4,0.5784729659452604,5,0.5766284112091317
206,1,1,1,5,1,1,1,1,4,1,1,1,1,1,4,-0.8329136245317359,1,-1.62822736070861
207,1,1,0,0,1,1,1,0,4,1,1,1,1,1,3,-1.0403660686865441,3,-0.4817023593113843
208,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-1.3480697300558395,1,-1.6723244761469647
209,1,1,0,5,0,0,1,0,0,1,1,3,0,1,4,1.9160825301018682,3,1.590862066291293
210,1,1,0,6,1,1,1,1,4,1,1,1,1,1,0,-1.3975537993037754,2,-1.5620816875510777
211,1,1,1,5,1,1,1,1,4,1,1,1,1,1,0,-1.5873852957229315,1,-1.7605187070236743
212,1,1,1,5,1,1,1,0,3,1,1,1,1,1,3,-0.48246205718723567,2,-0.08482832036619077
213,1,1,0,6,0,0,0,0,6,0,1,3,0,0,0,0.4764895924606423,4,-0.4596538015922068
214,1,1,1,5,1,1,1,1,4,1,1,1,1,1,4,-1.0727210370409637,2,-2.003052841934626
215,1,1,0,5,0,0,1,0,4,1,1,1,0,1,4,-0.49386007313760294,4,0.5545798534899543
216,1,1,0,0,1,0,1,0,6,1,1,1,1,1,0,0.5312128998095913,3,-0.8124307250990455
217,1,1,0,5,1,0,1,0,3,1,1,1,1,1,3,0.6939714352659613,3,-0.08482832036619077
218,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-0.8378748622437157,1,-1.0329163022908197
219,1,1,0,0,0,1,1,1,4,1,1,1,0,1,3,-1.2778211702116435,3,-1.2534018794825939
220,1,1,0,0,0,1,1,0,4,1,1,1,1,1,4,0.7577832168717697,4,1.5688135085721153
221,1,1,0,5,0,0,1,0,5,0,1,1,1,1,3,0.7663370749958728,5,1.7231534126063572
222,1,1,0,6,1,1,1,0,3,1,0,0,1,1,3,0.44862539962137676,3,0.5766284112091317
223,0,1,0,0,0,0,0,0,4,1,1,1,0,1,3,0.25543651388851035,5,1.0616966810310349
224,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0.3754257587243653,4,-0.7021879365031584
225,1,1,0,0,1,1,1,1,4,0,1,1,1,1,3,-1.170577173980702,3,-0.30531389755796495
226,1,1,0,5,1,0,0,0,4,1,1,1,1,1,3,-0.9719138190484098,4,-0.1068768780853682
227,0,1,0,6,0,1,0,0,0,1,1,1,0,1,3,1.2076092309730366,5,0.6868711998050188
228,1,1,0,0,0,1,1,0,4,1,1,1,1,0,3,0.4668237327804059,4,1.1057937964693896
229,1,1,0,5,0,1,1,0,4,1,1,1,1,1,0,-0.16184207005054466,4,-0.30531389755796495
230,0,1,0,0,1,1,0,0,3,1,1,1,1,1,4,0.4112664242643569,3,0.5104827380515995
231,1,1,0,6,0,0,0,0,4,0,1,1,0,1,0,0.7668289218380087,6,-0.06277976264701336
232,1,1,1,5,1,1,0,0,3,1,1,1,0,1,4,-0.2613448246791729,3,-0.2832653398387875
233,1,1,1,5,1,1,1,1,4,1,1,1,1,1,0,1.0191463518537371,9,1.7011048548871799
234,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-0.8506628801392496,2,-1.1872562063250616
235,0,1,0,5,0,0,0,0,4,1,1,3,0,0,4,0.5534101616416386,5,1.9436389897981314
236,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0.29273133530959944,9,1.7452019703255348
237,1,1,0,6,0,0,1,0,3,1,1,1,1,1,0,2.378268869192464,3,0.6207255266474865
238,1,1,0,0,0,0,1,0,2,1,1,1,1,1,4,-0.09024627755180248,3,0.20180292998311564
239,1,1,0,0,1,0,1,1,4,0,1,1,0,1,3,-0.3272523015253866,4,-0.3714595707154972
240,1,1,0,0,1,1,1,1,4,1,1,1,1,1,0,-1.2018415254242987,3,0.37819139173653493
241,0,1,0,0,0,1,1,0,4,1,1,1,0,1,4,-0.2390406396205743,4,-0.9667706291332874
242,1,1,1,5,1,1,1,1,4,1,0,0,1,1,3,0.03483251286789375,4,0.24590004542147045
243,1,1,0,0,1,1,0,0,4,1,1,1,1,1,3,-0.646995518204357,3,0.6868711998050188
244,1,1,0,0,1,0,1,0,4,1,1,1,0,1,3,-0.8064608182829474,3,-0.8785763982565777
245,1,1,1,5,1,1,1,0,4,1,1,1,1,1,4,-0.549588458816134,2,-0.08482832036619077
246,1,1,0,0,1,1,1,1,4,1,1,1,1,1,0,-1.2308391044650078,1,-1.9369071687770936
247,1,1,0,5,1,0,0,0,6,1,1,1,0,1,0,1.3049949057159493,3,-0.4376052438730294
248,1,1,0,5,0,0,0,0,4,0,1,1,1,1,4,0.46025864667015687,3,0.4443370648940672
249,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,-0.6907485025091439,3,0.025414468229696306
250,1,1,0,5,0,1,0,0,4,1,1,1,0,1,3,-0.7263325523054124,4,0.24590004542147045
251,0,1,0,5,0,0,0,0,5,0,0,0,0,0,4,0.5759281931533398,9,2.5169014904967444
252,1,1,0,5,1,1,1,0,1,1,1,1,1,1,3,-1.2026541419460883,4,0.6207255266474865
253,1,1,0,5,0,1,0,0,4,1,1,1,1,1,3,-0.40911272377305236,3,-0.5698965901880939
